help	बचाओ
we are responsible for your protection from now on	अबसे आपकी हिफ़ाज़त के लिए हम ज़िम्मेदार हैं।
we arrived at the station as the train was leaving	हम स्टेशन पर तब पहुँचे जब ट्रेन चल पड़ी थी।
we must not speak ill of others behind their backs	हमे लोगों की पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।
we will have to take off our shoes before going in	हमे अंदर जाने से पहले जूते उतारने होंगे।
when he arrives in tokyo ill call you right away	उसके टोक्यो आते ही मैं तुम्हें तुरंत फ़ोन करूँगी।
why do you talk about him as if he were an old man	तुम उसके बारे में ऐसे बात क्यों करते हो जैसे कि वह बूढ़ा आदमी हो
after some hesitation he laid the book on the desk	थोड़ी हिचकिचाहट के बाद उसने किताब को मेज़ पर रखा।
i will get through with my homework before he comes	मैं उसके आने से पहले अपना होमवर्क खतम कर लूँगा।
i will never forget your kindness so long as i live	मैं आपकी अच्छाई को कभी नहीं भूलूँगा।
look carefully im going to show you how its done	ग़ौर से देखा। मैं तुम्हें दिखाऊँगा कैसे किया जाता है।
a selfish man thinks of nothing but his own feelings	मतलबी इनसान केवल अपनी भावनाओं के बारे में ही सोचता है।
a selfish man thinks of nothing but his own feelings	मतलबी इनसान केवल अपने बारे में ही सोचता है।
all the flowers in the garden died for lack of water	बाग के सारे फूल पानी की कमी की वजह से मर गए।
i ran into an old friend of mine outside the station	मुझे स्टेशन के बाहर अपना एक पुराना दोस्त मिल गया।
i spent hours looking for the key that i had dropped	मैं घंटों तक उस चाबी को ढूँढता रहा जिसे मैंने गिरा दिया था।
i want this photograph developed as soon as possible	मुझे यह तस्वीर जल्दसेजल्द बनवानी है।
ill arrange for someone to pick you up at your home	मैं किसी को तुम्हें घर से लेने के लिए भिजवादूँगा।
it is dangerous to ride a motorbike without a helmet	हेलमेट पहने बिना मोटरसाईकल चलाना बहुत खतरनाक होता है।
it may not be necessary for us to go to that meeting	शायद हमें उस मीटिंग में जाने की ज़रूरत नहीं पड़ेगी।
it would be better for you not to ask him for advice	बहतर होगा कि तुम उससे सलाह न माँगो।
my hands are dirty i have been repairing my bicycle	मेरे हाथ गंदे हैं। मैं अपनी साईकल ठीक कर रहा था।
she gave me a large room while i stayed at her house	जब मैं उसके घर पर रही उसने मुझे रहने के लिए एक बड़ा सा कमरा दिया।
the government started a program to promote industry	सरकार ने उद्योग बढ़ाने के लिए कार्यक्रम शुरू किया।
the majority of the committee voted against the bill	समिति के अधिकांश सदस्यों ने बिल के पारित होने के खिलाफ़ मत दिया।
the other day her mother passed away in the hospital	कुछ दिन पहले उसकी माँ हस्पताल में चल बसीं।
the population of china is larger than that of india	चीन की जनसंख्या भारत की से बड़ी है।
the speed of the spread of aids is horrifyingly fast	एड्स के फैलाव की तेज़ गति बहुत भयानक है।
when you cant do what you want you do what you can	जब वह नहीं कर सकते जो करना चाह्ते हो तो वह करो जो कर सकते हो।
french is spoken in france and in some parts of italy	फ्रेंच फ्रांस में अौर इटली के कुछ हिस्सो में बोली जाती है।
i got up early so that i could catch the first train	मैं जल्दी उठा था क्योंकि मुझे पहली ट्रेन पकड़नी थी।
i was caught in a shower and was drenched to the skin	मैं बारिश में फंस गया था और तरतर भीग गया।
in japan there arent any lakes bigger than lake biwa	जापान में बीवा झील से बड़ी और कोई झील नहीं है।
in case i cant come ill give you a call beforehand	अगर मैं नहीं आ पाया तो तुम्हें पहले फ़ोन करके बतादूँगा।
make sure to turn off all the lights before going out	बहार जाने से पहले सारी बत्तियाँ बंद करना मत भूलना।
maybe i am unhappy but i dont intend to kill myself	हाँ शायद मैं दुखी हूँ पर मुझे अपनी जान लेने का इरादा नहीं है।
seen from the sky the river looked like a huge snake	आसमान से वह नदी एक विशाल सांप की तरह दिख रही थी।
the king ordered that the prisoner should be set free	राजा ने हुक़्म दिया कि क़ैदी को रिहा कर दिया जाए।
the patient was lying in the bed with his eyes closed	मरीज़ आँखें बंद कर बिस्टर पर लेटा हुआ था।
the police arrested the man who had murdered the girl	पुलिस ने उस लड़की के क़ातिल को हरासत में ले लिया।
we are supposed to take off our shoes at the entrance	हमे अंदर जाने से पहले जूते उतारने होंगे।
we communicate with each other by telephone every day	हम रोज़ एकदूसरे से फ़ोन पर बात करते हैं।
we have decided on leaving this town tomorrow morning	हमने इस नगर को कल सुबह छोड़ने का इरादा किया है।
with a little more patience you would have succeeded	अगर तुममें थोड़ा और सब्र होता तो तुम कामयाब हो जाते।
you had better chain up the dog so that he wont bite	तुम्हें कुत्ते को बांध देना चाहिए जिससे कि वह किसी को काट न ले।
you should not speak ill of others behind their backs	तुमको लोगों कि पीठ के पीछे उनकी बुराई नहीं करनी चाहिए।
youll have to work hard if you want to pass the exam	अगर तुम्हे परीक्षा पास करनी है तो मन लगाकर काम करना होगा।
a committee has been set up to investigate the problem	इस समस्या की तहकीकात करने के लिए एक समिति स्थापित करी गई है।
according to tv news there was a plane crash in india	टीवी समाचार के मुताबिक भारत में विमान दुर्घटना हुई है।
as the saying goes nothing ventured nothing gained	एक कहावत है कुछ पाने के लिए कुछ खोना पड़ता है।
can you tell the difference between these two pictures	तुम इन दो तस्वीरों में अंतर बता सकते हो
dont be afraid to make mistakes when speaking english	अंग्रेज़ी बोलते समय गलतियों का डर नहीं होना चाहिए।
i cant swallow these tablets without a drink of water	मैं पानी के बिना इन गोलियों को निगल नहीं सकती।
in order to stay awake i may have to drink more coffee	मुझे जगे रहने के लिए शायद और कॉफ़ी पीनी पड़ेगी।
the taj mahal is one of the seven wonders of the world	ताज महल विश्व के सात आश्चर्यों में से एक है।
the number of fish caught in this river was very small	इस नदी में बहुत कम मछलियाँ पकड़ीं गईं।
the voyage from england to india used to take 6 months	इंग्लैड से भारत तक का सफ़र छः महीनों का हुआ करता था।
there is no point in studying if you are feeling tired	अगर थक गए हो तो पढ़ाई करने से कोई फ़ायदा नहीं है।
they obtained a yield of 8 percent on their investment	उनके इनवेस्टमेंट पर ८ प्रतिशत का फ़ायदा हुआ।
this car has enough power to go up the mountain easily	गाड़ी में आसानी से पहाड़ चढ़ने लायक जान है।
we ought to do our best not to pollute our environment	हमे पर्यावरण के प्रदूषण को रोकने का प्रयास करना चाहिए।
you can borrow these books from the library for a week	आप ये किताबें पुस्तकालय से एक हफ़्ते के लिए ले सकते हैं।
your feet are swollen because your shoes are too small	तुम्हारे पैर सूज गए हैं क्योंकि तुम्हारे जूते बहुत छोटे हैं।
a mother is responsible for the conduct of her children	एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।
columbus argued that he could reach india by going west	कोलम्बस ने सोचा कि वह पश्चिम दिशा में जाकर भारत पहुँच सकता था।
if i had known her address i would have written to her	अगर मुझे उसका पता पता होता तो मैंने उसे चिट्ठी लिखी हुई होती।
in the 1600s tea was introduced into europe from india	१६०० की शतक में चाय को भारत से यूरोप में लाया गया था।
its been nice talking to you but i really must go now	आपसे बात करके खुशी हुई पर अब मुझे जाना पड़ेगा।
its hard to say what the weather will be like tomorrow	कल का मौसम कैसा होगा कहना मुश्किल है।
last night you forgot to turn off the radio didnt you	तुम कल रात रेडियो को बंद करना भूल गए थे ना
without a dictionary it would be hard to study english	शब्दकोश डिक्शनरी के बिना अंग्रेज़ी की पढ़ाई करना बहुत मुश्किल होगा।
you ought not to have spent so much money on your hobby	तुम्हें अपने शौक पर इतने सारे पैसे खर्च नहीं करने चाहिए थे।
when will you be back it all depends on the weather	कब वापस आओगे यह तो मौसम देख कर पता चलेगा।
he never takes into account the fact that i am very busy	वह कभी भी इस बात का खयाल नहीं करता है कि मैं कितना व्यस्थ हूँ।
i can barely afford to buy enough food to feed my family	अपने परिवार के लिए खाना खरीदना भी मेरे लिए मुश्किल है।
it is essential to have good command of english nowadays	आजकल अंग्रेज़ी अच्छे से बोलना जानना बहुत ज़रूरी है।
mumbai is the capital of the indian state of maharashtra	मुम्बई भारतीय राज्य महाराष्ट्र की राजधानी है।
parents are responsible for the safety of their children	मातापिता अपने बच्चों की हिफ़ाज़त के लिए ज़िम्मेदार होते हैं।
parents are responsible for the safety of their children	मातापिता अपने बच्चों की सुरक्षा के लिए ज़िम्मेदार होते हैं।
some of the boys are fishing and the others are swimming	कुछ लड़के मछलियाँ पकड़ रहे हैं और बाकी तैर रहे हैं।
that child is only four but he can already count to 100	वह बच्चा हालांकि केवल चार साल का ही है वह अभी से ही सौ तक गिनती कर सकता है।
the reason why you failed is you did not try hard enough	तुम नाकामयाब इसलिए रहे क्योंकि तुमने पूरी तरह मेहनत नहीं लगाई।
he couldnt sleep because of the noise outside his window	उसकी खिड़की के बाहर इतना शोर हो रहा था कि वह सो नहीं पा रहा था।
he intends to devote his life to curing the sick in india	वह अपनी ज़िंदगी को भारत में बीमारों का इलाज करने में समर्पित करना चाहता है।
i have so many clothes i dont know what to wear tomorrow	मेरे पास इतने सारे कपड़े हैं कि मुझे समझ में नहीं आ रहा है कि कल क्या पहनूँ।
i tried to give her some money but she wouldnt take any	मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।
it makes no difference to me whether you are rich or poor	तुम अमीर हो या ग़रीब इससे मुझे कोई फ़र्क नहीं पड़ता।
japan is one of the greatest economic powers in the world	जापान दुनिया के सबसे ताकतशाली अर्थतंत्रों में से एक है।
on the fifteenth of august thousands of people fly kites	पंद्रह अगस्त के दिन हज़ारों लोग पतंग उड़ातें हैं।
there is nothing on earth that is not affected by the sun	विष्व में ऐसी कोई भी वस्तु नहीं है जिसपर सूर्य का प्रभाव न पड़ता हो।
there is nothing on earth that is not affected by the sun	दुनिया में ऐसी कोई भी चीज़ नहीं है जिसपर सूरज का असर न पड़ता हो।
we must hurry if we want to arrive at the station on time	अगर हमको स्टेशन समय पर पहुँचना है तो हमको जल्दी करनी होगी।
according to my calculation she should be in india by now	मेरे हिसाब के मुताबिक उसको अभी तक भारत पहुँच जाना चाहिए था।
although they are twins they have few interests in common	वे हालांकि जुड़वा हैं उनके शोक एकदूसरे से बहुत अलग हैं।
cross off the names of the people who have paid their dues	जो पैसे भर चुकें हैं उनके नाम काट दो।
he deliberately ignored me when i passed him in the street	जब मैं सड़क पर उसके सामने से गया उसने जानबूझकर मुझे पहचाना नहीं।
he promised me that he would be more careful in the future	उसने मुझसे वादा किया था कि वह आगे से ज़्यादा सावधान रहेगा।
seeing that movie is something like taking a trip to india	उस फ़िल्म को देखना भारत के सफ़र पर जाने जैसा है।
the authorities have been hiding the facts from the public	अधिकारियों ने सच्चाई को आम जनता से छिपा कर रखा हुआ है।
the instant he opened the door he smelt something burning	उसे दरवाज़ा खोलते ही किसी चीज़ के जलने की बदबू सुँघाई दी।
what is the difference between imitation and real diamonds	असली और नकली हीरों में क्या फ़र्क होता है
by the time the sun sets we will arrive at the destination	हम सूरज के डूबने से पहले अपनी मंजिल तक पहुँच जाएँगे।
covered with dust the doll stood in the corner of the room	वह धूल से लिपटी हुई गुड़िया कमरे के कोने में खड़ी हुई थी।
he finished his dinner because he didnt like to waste food	उसे खाने की बर्बादी करना पसंद नहीं था तो उसने अपना खाना खाकर खतम किया।
nobody likes him because he is always blowing his own horn	उसे कोई भी पसंद नहीं करता क्योंकि वह सारे टाईम अपनी बड़ाई करता रहता है।
they have demanded that all copies of the book be destroyed	उन्होंने मांग करी है कि इस किताब की सारी कॉपियाँ नष्ट कर दीं जाएं।
what do you call a man who takes care of sheep in the field	खेत में बकरियों की देखभाल करने वाले आदमी को क्या बुलाया जाता है
when he would not give them higher pay they went on strike	जब उसने उनके वेतन बढ़ाने से इनकार कर दिया उन्होंने हड़ताल कर दी।
i feel sad when i think about all the people who die in wars	मुझे दुख होता है जब मैं उन लोगों की सोचता हों जो जंग में अपनी जान खो देते हैं।
the fisherman exaggerated the size of the fish he had caught	मछवारे ने पकड़ी हुई मछली के आकार को बढ़ाचढ़ाकर बताया।
the new government promised to rid the country of corruption	नई सरकार ने देश को भ्रष्टाचार से मुक्त करने का वादा किया।
his shoes were so old that his toes were sticking out of them	उसके जूते इतने पुराने थे कि उनमें से उसकी ऊँगलियाँ निकल रहीं थीं।
if it had not been for her help you would never have done it	उसकी मदद के बिना तुम नहीं कर पाते।
instead of cleaning the house today i think ill take a walk	मैं आज घर साफ़ करने के बजाय सैर करने जाऊँगी।
it has been raining on and off since the day before yesterday	परसों से बारिश रुक रुक के हो रही है।
it will take me no less than 10 hours to prepare for the exam	मुझे परीक्षा की तैयारी करने के लिए कमसेकम दस घंटे लगेंगे।
mary resembles her mother in appearance but not in character	मेरी दिखने में तो अपनी माँ की तरह है पर चरित्र में अलग है।
this morning the weather was so bad that i had to take a taxi	आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।
when he is in trouble he always turns to his sister for help	जब वह मुश्किलों में पड़ता है वह हमेशा अपनी बहन से मदद माँगता है।
how long has it been since you gave up teaching at that school	तुम्हे स्कूल में पढ़ाना छोड़े हुए कितना समय हो गया है
i dont think i shall get through all this work this afternoon	मुझे नहीं लगता मैं इतना सारा काम इस दोपहर को खतम कर पाऊँगा।
i missed my stop how long does it take to reach the next stop	मेरा स्टॉप छूट गया। अगला स्टॉप कितनी देर में आएगा
to investigate the incident would take us at least three weeks	हमको इस घटना की तहकीकात करने में कमसेकम तीन हफ़्ते लगेंगे।
the older you are the more difficult it is to learn a language	तुम्हारी उम्र जितनी बड़ी होती है तुम्हारे लिए कोई भाषा सीखना उतना ही कठिन होता है।
electric power companies are seeking to reduce their use of coal	बिजली कम्पनियाँ कोयले का इस्तेमाल कम करने की कोशिश कर रही हैं।
it is not till we lose our health that we realize its true value	हम जब तक अपना स्वास्थ्य नहीं खो देते हैं तब तक उसकी असली कीमत नहीं पहचानते हैं।
it is not till we lose our health that we realize its true value	हम जब तक अपनी सेहत नहीं खो देते हैं हमे तब तक उसकी असली कीमत नहीं पहचानते हैं।
she wanted to have her hair cut but her mother wouldnt let her	वह अपने बाल कटवाना चाह्ती थी पर उसकी मम्मी राज़ी नहीं थी।
you might as well read a novel instead of staring at the ceiling	छत पर घूरने के बजाए उपन्यास ही पढ़लो।
dont you think the air conditioner is turned up too high in here	तम्हें नहीं लगता कि एसी कुछ ज़्यादा ही तेज़ चल रहा है
it will not make much difference whether you go today or tomorrow	तुम आज जाओ या कल इससे ज़्यादा फ़र्क नहीं पड़ेगा।
the boy gathered a handful of peanuts and put them in a small box	उस लड़के ने एक मुट्ठीभर मूँगफलियाँ लीं और उन्हें एक छोटे से डब्बे में डाल दिया।
theres a rumor in the air that the firm is going into bankruptcy	हवा में एक अफ़वाह है कि उस कारोबार का दिवालिया होने वाला है।
when you leave the room please make sure you turn off the lights	कमरे से निकलने से पहले कृपया बत्तियाँ बंद कर दीजिएगा।
if tom doesnt help us well never be able to finish this on time	अगर टॉम हमारी मदद नहीं करेगा तो हम ये समय पर कभी नहीं कर पायेंगे।
you must not be afraid of making mistakes when learning a language	कोई भी नई भाषा सीखने में ग़लतियों से डरना नहीं चहिए।
if you have a time could you translate some sentences below please	अगर आपके पास थोड़ा समय हो तो कृपया निम्न वाक्यों का अनुवाद करेंगे
many people around the world dont have access to good quality water	दुनिया भर में बहुत से लोगों को अच्छा पानी उपलब्ध नहीं है।
the company gave him a gold watch in acknowledgement of his services	कम्पनी ने उसकी सेवाओं की पहचान में उसे सोनी की घड़ी दी।
she cut the cake into six pieces and gave one to each of the children	उसने केक को छः टुकड़ो में काट कर हर बच्चे हो एक टुकड़ा दिया।
the twin girls are so much alike that i cant tell one from the other	जुड़वा बहनें एकदूसरे से इतनी मिलतीजुलतीं हैं कि मैं उनमें फ़र्क नहीं बता सकती।
i make it a practice to help my brother with his homework after supper	मुझे रात को खाना खाने के बाद अपने भाई को उसके होमवर्क के साथ मदद करने की आदत है।
instead of laying off these workers why dont we just cut their hours	इन कर्मचारियों को नौकरी से निकालने की बजाय क्यों न हम इनके काम करना का समय कम करदें
our parents took care of us and now its our turn to take care of them	हमारे मातापिता ने हमारी देखभाल की थी और अभ हमारी बारी है उनकी देखभाल करने की।
the thieves pulled open all the drawers of the desk in search of money	चोरों ने पैसे ढूँढने के लिए मेज़ की सारी दराज़ें खोल डालीं।
i learned to drive a car and got a drivers license when i was eighteen	जब मैं अठारह साल का था मैंने गाड़ी चलानी सीखी और लाईसेंस बनवालिया।
father kept in touch with us by mail and telephone while he was overseas	जब पिताजी विदेश में थे वे हमारे साथ चिट्ठी और फ़ोन से सम्पर्क करते थे।
mother teresa was a catholic nun who lived and worked in calcutta india	मदर टेरेसा एक कैथोलिक नन थीं जो कलकत्ता में रहतीं और काम करतीं थीं।
george washington was the first president of the unites states of america	जार्ज वाशिंगटन संयुक्त राज्य अमेरिका के पहले राष्ट्रपति थे
in 1951 sister teresa was sent to calcutta then the largest city in india	१९५१ में सिस्टर टेरेसा को कलकत्ता भेजा गया था जो उस समय भारत का सबसे बड़ा शहर था।
mother teresa used the prize money for her work in india and around the world	मदर टेरेसा को जो इनाम में पैसे मिले उन्होंने उन पैसों को भारत और विदोश दोनों में अपने काम में लगाया।
if you go to that supermarket you can buy most things you use in your daily life	उस सूपरमार्केट में तुम लगभग कोई भी रोजाने में इस्तेमाल होने वाला सामान ख़रीद सकते हो।
the passengers who were injured in the accident were taken to the nearest hospital	जिन यात्रियों को दुर्घटना मे चोट आई थी उन्हे अस्पताल ले जाया गया।
democracy is the worst form of government except all the others that have been tried	लोकतंत्र सरकार का सबसे घिनौना रूप है अगर बाकी सारी तरह की सरकारों को अंदेखा किया जाए तो।
if my boy had not been killed in the traffic accident he would be a college student now	अगर मेरा बेटा ट्रेफ़िक हादसे में नहीं मारा गया होता तो वह अभी कॉलेज जा रहा होता।
when i was a kid touching bugs didnt bother me a bit now i can hardly stand looking at pictures of them	जब मैं बच्चा था मुझे कीड़ों को छूने से कोई परेशानी नहीं होती थी पर अब मैं उनकी तस्वीरें देखना भी बर्दाश्त नहीं कर सकता।
make a good translation of the sentence that you are translating dont let translations into other languages influence you	आप जिस वाक्य का अनुवाद कर रहे हैं उस ही का अच्छी तरह से अनुवाद करें। दूसरी भाषाओं के अनुवादों से प्रभावित न होने दें।
the biggest drawback of this scheme is that this subsidy is not linked up with the inflation rate	इस योजना की एक बड़ी खामी यह है कि महंगाई दर से इस सब्सिडी को जोड़ा नहीं गया है
delhi is an urban territory	दिल्ली शहरी इलाका है
there banks are in abundance and most of the people also have bank accounts	वहां बैंक बहुतायत में हैं और अधिकांश लोगों के पास बैंक खाते भी हैं
the same thing can also be said about aadhar card	यही बात आधार कार्ड के लिए भी कही जा सकती है
but various complaints are coming up in other territories of the country	पर देश के दूसरे इलाकों में तमाम खामियों की बातें सामने आ रही हैं
the most important thing is that the needy will only get the money if their fingerprint matches the database of uidai	सबसे जरूरी बात यह है कि जरूरतमंदों को पैसा तभी मिलेगा जब उनकी उंगलियों की छाप उनके यूआईडीएआई के डाटाबेस से मेल खाती हो
now let us look at the ground reality	अब जरा ज़मीनी हकीकत पर नजर डाली जाए
the reality of kotkasim tehsil of alwar district is before us	अलवर जिले की कोटकासिम तहसील की असलियत सामने आ चुकी है
in the four districts of jharkhand also - ranchi ramgarh hazaribagh and saraikela-kharsava pilot project was started since last december	झारखंड के भी चार जिलों - रांची रामगढ़ हजारीबाग और सरायकेला खरसावां में पिछले दिसंबर से पायलट परियोजना शुरू की गई थी
in ramgarh the laborers of manrega were supposed to get the wages on the basis of adhar card	रामगढ़ में मनरेगा के मजदूरों को आधार कार्ड के आधार पर मजदूरी दी जानी थी
there are one lakh seventy four thousand manrega labors but even after a year only five thousand labors have been successfully linked with aadhar card	वहां एक लाख 74 हजार मनरेगा मजदूर हैं लेकिन एक साल बाद भी सिर्फ पांच हजार मजदूरों को ही आधार से जोड़ने की सफलता मिली है
despite this if the central government is in a haste to come up with the cash subsidy scheme this means that it wants to take the benefit of elections	इसके बावजूद अगर केंद्र सरकार कैश सब्सिडी योजना लाने में जल्दबाजी कर रही है तो इसका मतलब है कि वह चुनावी लाभ उठाना चाहती है
if it thinks that it can again come into power because of manrega then why cant the direct investment scheme make the trio of upa	उसे लगता है कि अगर 2009 में मनरेगा के बल पर सत्ता में दोबारा पाया जा सकता है तो 2014 में सीधे पैसा जमा करवाने की योजना यूपीए की तिगड़ी क्यों नहीं बनवा सकती
congress is busy in playing the tactics so that the bjp ruled states should not take its advantage	कांग्रेस इसकी व्यूह रचना में भी लगी है कि भाजपा शासित राज्य इसका फायदा न उठा पाएं
actually during the manrega scheme the chief ministers of the bjp ruled states put up their pictures in the manrega posters	दरअसल मनरेगा योजना के दौरान भाजपा शासित राज्यों के मुख्यमंत्रियों ने मनरेगा के पोस्टरों में अपनी तस्वीरें लगा ली थीं
despite the efforts of the congress in a haste the cash subsidy scheme will definitely be a wastage	कांग्रेस चाहे कुछ भी करे जल्दबाजी में कैश सब्सिडी योजना का बंटाधार ही होगा
the 65 rupees increase in the minimum support price of wheat by the central government is said to be futile by the farmer organizations	केंद्र सरकार द्वारा गेहूं के न्यूनतम समर्थन मूल्य ( एमएसपी) में 65 रुपये की बढ़ोतरी को किसान संगठनों ने नाकाफी बताया है
the organizations say that with this it will be difficult for the farmers to get the disbursement on produce consequently they will have to face heavy loss	संगठनों का कहना है कि इससे किसानों को उपज की लागत निकालना भी मुश्किल हो जाएगा जिस कारण उन्हें भारी नुकसान उठना पड़ सकता है
seeing the bumper stock the government has agreed to export 25 lakh tonnes of wheat	इसके साथ ही सरकार ने बंपर स्टॉक को देखते हुए 25 लाख टन गेहूं निर्यात को भी मंजूरी दे दी है
if the msp is not increased then in the coming years the farmers might reduce the produce of wheat	यदि एमएसपी में बढ़ोतरी नहीं की गई तो आने वाले दिनों में किसान गेहूं की उपज कम कर सकते हैं
v m singh the convener of national farm laborers organization said that the government has mocked at the farmers by 65 rupees increase in the msp of wheat	राष्ट्रीय किसान मजदूर संगठन के संयोजक वीएम सिंह ने बताया कि सरकार ने गेहूं के एमएसपी में 65 रुपये की बढ़ोतरी करके किसानों के साथ मज़ाक किया है
the farmers will not even get back their disbursement at these rates	इन भावों पर किसानों को अपनी लागत भी वापस नहीं मिलेगी
sudheer pawar of farmer awareness forum says that there will be an increase of at least 100 rupees per quintal but with an increase of just 65 rupees they have cheated the farmers	किसान जागृति मंच के सुधीर पवार का कहना है कि किसानों को उम्मीद थी कि कम से कम 100 रुपये क्विंटल की बढ़ोतरी जरूर होगी लेकिन सिर्फ 65 रुपये बढ़ोतरी करके किसानों को ठेंगा दिखा दिया गया है
in the horticulture and forestry college near jhalrapatan on thursday the annual seminar on all india coordinated research project of dry regions began	झालरापाटन के समीप उद्यानिकी एवं वानिकी कॉलेज में गुरुवार से तीन दिवसीय अखिल भारतीय शुष्क क्षेत्रीय फल समन्वित अनुसंधान परियोजना का वार्षिक सेमिनार शुरू हुआ
it is being jointly organized by the college and central dry horticulture institution of bikaner	इसका आयोजन कॉलेज व बीकानेर का केंद्रीय शुष्क बागवानी संस्थान संयुक्त रूप से कर रहे हैं
in the seminar there will be talks primarily on the research of fruits	इस सेमिनार में प्रमुख रूप से फलों के अनुसंधान पर ही विचार मंथन होगा
on the first day of the conference six research papers were presented in the first three sessions	अधिवेशन के पहले दिन तीन सत्रों में 6 शोध पत्र प्रस्तुत किए
according to the president pranab mukherjee the development of farming and the concerned areas are the basis of all round progress of the country	राष्ट्रपति प्रणब मुखर्जी ने कृषि और उससे जुड़े क्षेत्रों के विकास को ग्रामीण भारत की सर्वांगीण प्रगति का मूल आधार बताया
he expects to achieve the target of 4 percent increase in the development in the 12th plan in farming sector	उन्होंने 12 वीं योजना में कृषि क्षेत्र में चार फीसद की विकास के लक्ष्य को प्राप्त कर लेने की उम्मीद जताई
mukherjee was speaking here after felicitating the cereal producing states for their fabulous performance	मुखर्जी मंगलवार को यहां खाद्दान्न उत्पादक राज्यों को उनके शानदार प्रदर्शन के लिए पुरस्कृत करने के बाद बोल रहे थे
amongst the states receiving the award for the best farming madhya pradesh got the first prize for stunning performance in cereal production	कृषि कर्मण पुरस्कार प्राप्त करने वाले राज्यों में मध्य प्रदेश को खाद्दान्न उत्पादन में बेहतर प्रदर्शन करने पर पहला पुरस्कार दिया गया
bihar got the first prize for its fabulous achievement in the yield and production of paddy	बिहार को धान की पैदावार और उत्पादकता में शानदार उपलब्धि हासिल करने के लिए प्रथम पुरस्कार मिला
haryana got the krishi karman prize for the fabulous performance in the yield and production of wheat	गेहूं की पैदावार व उत्पादकता में शानदार प्रदर्शन करने वाले हरियाणा को मंगलवार को कृषि कर्मण पुरस्कार से नवाज़ा गया
after the discrepancies within the government regarding the minimum support price -lrb- msp -rrb- of wheat finally it was declared on wednesday	गेहूं के न्यूनतम समर्थन मूल्य ( एमएसपी) पर सरकार के भीतर मचे घमासान के बाद आखिरकार बुधवार को इसकी घोषणा कर दी गई
the support price for the current rabi season will be 1350 rupees which is 65 rupees more than the previous year	चालू रबी सीज़न के लिए समर्थन मूल्य 1350 रुपये प्रति क्विंटल होगा जो पिछले साल के मुकाबले 65 रुपये ज़्यादा है
